"","count"
"",2
"AK",495
"AL",1895
"AR",4327
"AZ",1094
"CA",3967
"CO",1381
"CT",1699
"DC",4
"DE",316
"FL",7638
"GA",6003
"HI",155
"IA",1331
"ID",1240
"IL",3755
"IN",1842
"KS",2759
"KY",2175
"LA",3203
"MA",4147
"MD",1445
"ME",502
"MI",1645
"MN",1999
"MO",2445
"MS",4029
"MT",739
"NC",6625
"ND",317
"NE",363
"NH",632
"NJ",2649
"NM",1698
"NV",345
"NY",3401
"OH",2935
"OK",4447
"OR",2246
"PA",1405
"RI",312
"SC",4380
"SD",60
"TN",3344
"TX",13405
"UT",768
"VA",3611
"VT",244
"WA",2604
"WI",903
"WV",880
"Total",119806
