"","count"
"AK",471
"AL",4251
"AR",6076
"AZ",1211
"CA",3997
"CO",2772
"CT",2482
"DC",1
"DE",357
"FL",8908
"GA",12955
"HI",226
"IA",1057
"ID",1183
"IL",3508
"IN",1462
"KS",4168
"KY",2906
"LA",3178
"MA",6595
"MD",1514
"ME",880
"MI",2805
"MN",2136
"MO",3126
"MS",5891
"MT",741
"NC",7727
"ND",446
"NE",515
"NH",1306
"NJ",3913
"NM",2142
"NV",475
"NY",5029
"OH",5484
"OK",6058
"OR",2913
"PA",3824
"RI",292
"SC",5975
"SD",177
"TN",6219
"TX",12692
"UT",1082
"VA",3539
"VT",269
"WA",2853
"WI",1251
"WV",980
"WY",289
"Total",160307
