"","count"
"",1
"AK",340
"AL",3114
"AR",6614
"AZ",1153
"CA",3528
"CO",1411
"CT",1414
"DC",1
"DE",355
"FL",7088
"GA",8457
"HI",60
"IA",2105
"ID",1330
"IL",5434
"IN",718
"KS",4852
"KY",3652
"LA",4233
"MA",3770
"MD",1312
"ME",514
"MI",1811
"MN",1467
"MO",4566
"MS",6170
"MT",651
"NC",8840
"ND",223
"NE",690
"NH",632
"NJ",3643
"NM",1735
"NV",370
"NY",3236
"OH",4254
"OK",6413
"OR",2401
"PA",2257
"RI",432
"SC",6285
"SD",114
"TN",6539
"TX",12806
"UT",986
"VA",4069
"VT",185
"WA",3206
"WI",1252
"WV",1136
"Total",147825
